classify,name,comment,star,price,address,quality,environment,service
美食,外婆家(又一城店),12085,四星商户,67,淞沪路8号百联又一城6楼24号铺,8.0,8.5,8.6
美食,三只小小猪(城市集市合生汇店),178,三星商户,20,黄兴路2228号合生汇B2层城市集市A2,7.1,7.6,7.7
美食,肯德基(邯郸店),161,三星商户,19,"""邯郸路585号地下一层B-2",7.1,7.6,7.7
美食,渔珍鲜(五角场店),3,准四星商户,60,邯郸路600号第一食品商店1楼,7.4,7.4,7.4
美食,精致上海本帮菜,563,准四星商户,94,邯郸路第一食品商店3楼,7.1,7.6,7.7
美食,火神の肉(百联又一城购物中心店),711,准四星商户,104,淞沪路8号百联又一城购物中心B1层,7.1,7.6,7.7
美食,林檎,5,准四星商户,无,国济路1号,7.4,7.4,7.4
美食,郑佳豪大大鸡排&奶茶,3,准四星商户,无,四平路2138号,7.4,7.4,7.4
美食,捉虾,1829,四星商户,117,邯郸路399号,7.1,7.6,7.7
美食,冠生园月饼,1,准四星商户,无,邯郸路600号第一食品1楼,7.4,7.4,7.4
美食,茶泰(合生汇店),345,四星商户,16,翔殷路1099号合生汇B2,8.0,7.7,7.8
美食,Godiva(上海合生汇店),160,四星商户,50,翔殷路1099号L1-44B,8.0,7.7,7.8
美食,炉鱼(五角场合生广场店),2394,准四星商户,86,翔殷路1099号上海合生汇B2楼07号,8.0,7.7,7.8
美食,红唇串串香(合生汇店),473,四星商户,33,翔殷路1099号合生国际广场B2层C14室,8.0,7.7,7.8
美食,奉茶(五角场店),148,准五星商户,19,五角场国宾路99号,8.0,7.7,7.8
美食,小辉哥火锅(合生国际店),1620,四星商户,133,黄兴路2228号L5-04号,8.0,7.7,7.8
美食,爱晒·我家酸菜鱼,283,四星商户,83,五角场国济路30—5,8.0,7.7,7.8
美食,表叔茶餐厅(合生汇店),4309,四星商户,70,翔殷路1099号合生汇B2,8.0,7.7,7.8
美食,和府捞面(合生店),2340,四星商户,44,翔殷路1099号，合生广场B2－02,8.0,7.7,7.8
美食,寻蛙记炭烧牛蛙餐厅(合生汇店),2757,四星商户,103,翔殷路1099号合生汇5F,8.0,7.7,7.8
美食,爱微卡(五角场店),33,准四星商户,27,邯郸路399号D9铺,7.4,7.4,7.4
美食,东北风(特力时尚汇店),4773,四星商户,57,邯郸路600号万达商业广场特力时尚汇1层,8.0,7.7,7.8
美食,中国（上海）创业者公共实训基地食堂,1,准四星商户,无,国定东路200号2号楼1楼,7.4,7.4,7.4
美食,南粤春大酒店,648,四星商户,236,黄兴路2200号蓝天宾馆3/4层,8.0,7.7,7.8
美食,农夫烤薯,8,准四星商户,无,五角场邯郸路孺子牛杂旁,7.4,7.4,7.4
美食,一笼小确幸(合生汇店),3673,四星商户,87,黄兴路2228号合生国际广场4层,8.0,7.7,7.8
美食,家乡阁,189,准四星商户,59,邯郸路399号,7.4,7.4,7.4
美食,TPlus茶家(特力时尚汇店),811,四星商户,18,邯郸路600号万达商业广场特力时尚汇1层,8.0,7.7,7.8
美食,水果羮八宝粥,11,准四星商户,无,政通路285弄,7.4,7.4,7.4
美食,串行天下(城市集市合生汇店),67,准四星商户,27,黄兴路1167号,8.2,8.4,8.4
美食,味锦(城市集市合生汇店),252,准四星商户,23,黄兴路合生汇国际广场B2层,8.2,8.4,8.4
美食,吴妈私房鱼圆,1,准四星商户,无,邯郸路397号,6.8,6.8,6.9
美食,缘丰料理(城市集市合生汇店),190,准四星商户,77,黄兴路2228号合生汇B2层城市集市C5商铺,8.2,8.4,8.4
美食,弄堂模子(老上海味道),24,准四星商户,20,五角场街道邯郸路399号,8.2,8.4,8.4
美食,碗上叫鸡(邯郸路店),5,准四星商户,无,邯郸路399号底楼A3,6.8,6.8,6.9
美食,唐饼家(百联又一城购物中心店),62,准四星商户,80,淞沪路8号百联又一城购物中心B1层,8.2,8.4,8.4
美食,文本hahatea,41,三星商户,17,国宾路91号-5,8.2,8.4,8.4
美食,凌鹭阁,3,准四星商户,无,邯郸路399号,6.8,6.8,6.9
美食,和米堂(百联又一城),152,准四星商户,19,淞沪路8号,8.2,8.4,8.4
美食,撸啊撸串,5,准四星商户,无,翔殷路1099号合生汇B2,8.2,8.4,8.4
美食,三个国王,1,准四星商户,无,邯郸路600号第一食品商店,6.8,6.8,6.9
美食,红房子西点(万达店),187,准四星商户,36,淞沪路77号万达广场2层,8.2,8.4,8.4
美食,wein friends,5,准四星商户,无,淞沪路8号百联又一城八楼,6.8,6.8,6.9
美食,港式铁板炒饭(大学路店),6,准四星商户,无,政通路189号,6.8,6.8,6.9
美食,爱茜茜里意大利健康冰淇淋(五角场万达店),1583,四星商户,30,淞沪路77号万达广场B1层146号,8.2,8.4,8.4
美食,越光米,6,准四星商户,无,黄兴路1167号,6.8,6.8,6.9
美食,星轩咖啡,23,准四星商户,12,国宾路100号,6.8,6.8,6.9
美食,Joytalk 沙拉(五角场店),114,准四星商户,33,黄兴路2228号地下二层04号,8.2,8.4,8.4
美食,天使之橙,10,准四星商户,14,10号线五角场站内,6.8,6.8,6.9
美食,三六九农家菜,3,准四星商户,无,五角场地铁旁,6.8,6.8,6.9
美食,快乐柠檬(合生汇二店),218,准四星商户,14,黄兴路2228号合生汇B2层40、41、47号,8.2,8.4,8.4
美食,CoCo都可茶饮（邯郸路店）(代购),4,三星商户,无,邯郸路589号,6.8,6.8,6.9
美食,红布坊脆皮鸡米饭,20,准四星商户,24,邯郸路399号,6.8,6.8,6.9
美食,爱不腻(城市集市合生汇店),81,准四星商户,23,黄兴路2228号合生汇B2层城市集市B5商铺,8.2,8.4,8.4
美食,八点醒黑糖甜品店(合生汇店),922,四星商户,21,翔殷路1099号合生汇B2,8.4,8.5,8.2
美食,sushi yano,1,三星商户,无,四平路2450号,6.8,6.8,6.9
美食,鸡排超人(合生汇店),80,准四星商户,19,翔殷路1099号合生汇B2,8.2,8.4,8.4
美食,禾绿回转寿司(百联又一城购物中心店),6057,四星商户,84,淞沪路8号百联又一城购物中心4层,8.4,8.5,8.2
美食,沙拉密语,1,三星商户,无,淞沪路8号第六层G09-F06-1-020室,6.8,6.8,6.9
美食,星巴克(上海合生国际广场店),354,四星商户,38,翔殷路1099号上海合生国际广场B1,8.4,8.5,8.2
美食,和府捞面(百联又一城店),387,四星商户,44,沪淞路8号百联又一城7楼,8.4,8.5,8.2
美食,独钓寒江(五角场万达店),2789,四星商户,94,政通路189号万达广场特力时尚汇3层,8.4,8.5,8.2
美食,卡旺卡(万达广场五角场店),2392,四星商户,15,淞沪路77号万达广场B区B1层,8.4,8.5,8.2
美食,卡乐星(合生汇店),720,四星商户,41,翔殷路1099号合生汇B2,8.4,8.5,8.2
美食,HEY JUICE茶桔便(国济路店),144,准四星商户,17,国济路12号,6.9,7.2,6.5
美食,小杨生煎(合生汇店),639,四星商户,23,黄兴路2228号合生汇B2楼,8.4,8.5,8.2
美食,唐饼家(五角场店),424,准四星商户,44,淞沪路77号万达广场1层,6.9,7.2,6.5
美食,米芝莲(城市集市合生汇店),602,四星商户,23,黄兴路2228号合生汇B2层城市集市C11,8.4,8.5,8.2
美食,木仔记(百联又一城购物中心店),434,准四星商户,17,淞沪路8号百联又一城购物中心B1层,6.9,7.2,6.5
美食,川城(特力时尚汇店),941,四星商户,93,邯郸路600号万达商业广场特力时尚汇4层,8.4,8.5,8.2
美食,图门烧烤(四平路店),5,三星商户,无,四平路2081号,6.9,7.2,6.5
美食,彼得家牧场(百联又一城购物中心店),589,四星商户,93,淞沪路8号百联又一城购物中心B1层,8.4,8.5,8.2
美食,必胜客(邯郸店),2006,三星商户,70,淞沪路77号B-13,6.9,7.2,6.5
美食,鱼酷活鱼现烤(五角场万达店),3188,四星商户,96,政通路189号万达特力时尚汇4楼407号铺,8.4,8.5,8.2
美食,爱咪欧冻酸奶Eimio(合生汇店),587,四星商户,24,翔殷路1099号合生汇B2,6.9,7.2,6.5
美食,夜航者吧式串烤餐厅(五角场店),1107,四星商户,100,四平路2138号2楼,8.4,8.5,8.2
美食,泰芒了,6,准四星商户,无,五角场翔殷路,6.9,7.2,6.5
美食,赤九港品(合生汇店),715,四星商户,17,翔殷路1099号合生汇4F,8.4,8.5,8.2
美食,三町目,4,准四星商户,无,翔殷路1099号合生广场6楼,6.9,7.2,6.5
美食,爱茜茜里意大利健康冰淇淋(东方商厦杨浦店),803,四星商户,33,四平路2500号东方商厦B1层,6.9,7.2,6.5
美食,湘水情,30,准四星商户,27,邯郸路399号红街食坊A7,7.2,7.2,7.2
美食,爆爆椒香辣虾干锅三绝(五角场总店),10834,四星商户,73,国济路12号,7.9,7.7,7.9
美食,恒记冰室(五角场店),337,准四星商户,17,淞沪路77号万达广场C区1层003号,6.9,7.2,6.5
美食,满记甜品(又一城店),3185,四星商户,34,淞沪路8号B1－6商铺,7.9,7.7,7.9
美食,royaltea 皇茶(四平路店),13,准四星商户,无,四平路2138号,7.2,7.2,7.2
美食,龙门花甲时尚海鲜,22,准四星商户,24,邯郸路399号D10-11,6.9,7.2,6.5
美食,胜博殿日式炸猪排(合生汇店),1024,准四星商户,98,翔殷路1099号合生汇4F,7.9,7.7,7.9
美食,一食当家,1,准四星商户,无,五角场第一食品二楼,7.2,7.2,7.2
美食,世界茶饮,21,准四星商户,19,四平路2492号,6.9,7.2,6.5
美食,汉堡王(上海五角场店),4903,准四星商户,27,"""政通路189号近淞沪路",7.9,7.7,7.9
美食,City Mart,1,准四星商户,无,中环路合生汇B2层,7.2,7.2,7.2
美食,哆可牛乳茶,15,准四星商户,无,邯郸路399号D10-11室,6.9,7.2,6.5
美食,哈根达斯(上海又一城店),872,准四星商户,83,淞沪路8号一楼G09-F01-1-1026.1027,7.9,7.7,7.9
美食,开心丽果,3,准四星商户,无,五角场万达广场城中城B1层,7.2,7.2,7.2
美食,宜芝多(江湾体育场店),5,准四星商户,无,江湾体育场3号口,6.9,7.2,6.5
美食,CHOP CHOP steak bar(合生汇直营店),920,四星商户,97,黄兴路2228号合生国际广场B2层城市集市A5商铺,7.9,7.7,7.9
美食,印湘一家有态度的湘菜馆,1,准四星商户,无,国定东路26号,7.2,7.2,7.2
美食,泰国榴莲酥,22,三星商户,19,邯郸路报刊亭旁,7.2,7.2,7.2
美食,瞒着爹海派中式名点(合生汇店),684,四星商户,18,翔殷路1099号合生汇B2,7.9,7.7,7.9
美食,湘亲,2,准四星商户,无,五角场国路51号2号楼一层,7.2,7.2,7.2
美食,福荣祥(政云店),2,准四星商户,无,五角场店,7.2,7.2,7.2
美食,糖纸甜品(合生汇店),980,准四星商户,28,翔殷路1099号合生汇B2,7.9,7.7,7.9
美食,ammon,1,准四星商户,无,五角场,7.2,7.2,7.2
美食,徽州特色,3,准四星商户,无,四平路2400号-118号,7.2,7.2,7.2
美食,丰收日(五角场店),3369,准四星商户,154,四平路2152号1-3楼,7.9,7.7,7.9
美食,十二泷町,1,准四星商户,无,江湾体育场地铁站B1层太平洋森活天地A-13号快乐柠檬旁边,7.2,7.2,7.2
美食,烧卤老鹅铺(特力时尚汇店),2,准四星商户,无,邯郸路600号万达商业广场特力时尚汇1层,7.2,7.2,7.2
美食,蜀面椒羞(五角场店),159,准五星商户,28,邯郸路585号苏宁生活广场项目地下一层B_7_3区,7.9,7.7,7.9
美食,NAR GOURMET FESTIVAL,3,准四星商户,无,政通路189号万达商业广场,7.2,7.2,7.2
美食,桃园眷村(五角场店),1114,准四星商户,33,国宾路万达广场36号1F,7.9,7.7,7.9
美食,宝寿司(国济路店),1412,准四星商户,44,国济路16号,7.6,7.2,7.6
美食,莉莲蛋挞(百联又一城购物中心店),2221,四星商户,14,淞沪路8号百联又一城购物中心B1层,7.9,7.7,7.9
美食,CoCo都可(五角场苏宁店),214,准四星商户,12,杨浦区邯郸路585号苏宁生活广场项目地下层部分B-8-4区域,7.6,7.2,7.6
美食,元祖食品(四平路店),119,四星商户,278,四平路2136号,7.9,7.7,7.9
美食,粥的名义,6,准四星商户,无,邯郸路399号,7.6,7.2,7.6
美食,Popaholic珀·赫丽爆米花,453,准五星商户,33,万达广场C坐写字楼B1层靠近沃尔玛超市,7.9,7.7,7.9
美食,三顾冒菜(五角场店),128,准四星商户,42,邯郸路399-A-2号,7.6,7.2,7.6
美食,久留米寿司(百联又一城购物中心店),145,准四星商户,46,淞沪路8号百联又一城购物中心B1层,7.6,7.2,7.6
美食,西府堡肉夹馍(国济路店),314,准四星商户,9,国济路16号,7.6,7.2,7.6
美食,蜀地冒菜,7,准四星商户,39,四平路2085号,7.6,7.2,7.6
美食,正新鸡排(国济路店),23,准四星商户,无,国济路9号,7.6,7.2,7.6
美食,沙拉疯saladfun(五角场店),34,准四星商户,33,邯郸路600号第一食品一楼,7.6,7.2,7.6
美食,zoocoffee(合生汇店),455,三星商户,37,翔殷路1099号合生汇3F,7.6,7.2,7.6
美食,蓝天宾馆.南粤春宴会厅,26,准四星商户,无,黄兴路2075-2083号新蓝天宾馆3-4楼,7.6,7.2,7.6
美食,美珍香(五角场苏宁店),3,准四星商户,无,邯郸路585号苏宁电器B1层,7.6,7.2,7.6
美食,果汁满满,38,四星商户,20,政通路与国宾路交汇五角场特立时尚汇1楼,7.6,7.2,7.6
美食,徽仔爆鱼王,28,准四星商户,31,政法路171号,7.2,7.1,7.1
美食,矮子老鸭粉丝汤,245,准四星商户,19,国济路12号,7.6,7.2,7.6
美食,陈师傅糖醋排骨,8,准四星商户,无,四平路与国定路交叉口旁,7.2,7.1,7.1
美食,现磨咖啡(黄兴路店),8,准四星商户,无,黄兴路2077号,7.2,7.1,7.1
美食,iceason,无,准四星商户,无,政通路189号特力时尚汇1楼,7.2,7.1,7.1
美食,丸龟制面(杨浦又一城店),3644,四星商户,37,杨浦区淞沪路8号百联又一城购物中心B1楼,7.6,7.4,7.4
美食,食家物语(又一城店),12,准四星商户,无,淞沪路8号百联又一城购物中心B1楼,7.2,7.1,7.1
美食,甜品屋,无,准四星商户,无,淞沪路77号特力时尚汇F1,7.2,7.1,7.1
美食,好多签串串香火锅(特力时尚汇店),3453,准四星商户,107,邯郸路600号万达商业广场特力时尚汇4层,7.6,7.4,7.4
美食,发记甜品,无,准四星商户,无,五角场万达广场特力时尚汇,7.2,7.1,7.1
美食,五角场凯悦酒店The Lounge,39,四星商户,152,国定东路88号6楼,7.6,7.4,7.4
美食,掌上韩品(百联又一城购物中心店),607,准四星商户,36,淞沪路8号百联又一城购物中心B1层,7.6,7.4,7.4
美食,可口可乐,无,准四星商户,无,国滨路58号宝大祥儿童购物中心F3国宾路,7.2,7.1,7.1
美食,红宝石(合生汇店),33,准四星商户,24,翔殷路1099号合生汇B2层,7.6,7.4,7.4
美食,光之乳酪(百联又一城店),545,准四星商户,27,淞沪路8号百联又一城B1,7.6,7.4,7.4
美食,巴芙勒,1,准四星商户,无,中环路合生广场旁,7.2,7.1,7.1
美食,宜芝多(五角场店),2841,四星商户,24,淞沪路77号万达广场1层,7.6,7.4,7.4
美食,奶熊半熟乳酪(百联又一城购物中心店),232,四星商户,43,淞沪路8号百联又一城购物中心B1层,7.6,7.4,7.4
美食,狸小意,无,准四星商户,无,翔殷路1099号合生汇B2,7.2,7.1,7.1
美食,精悦蓉(合生汇店),1159,准四星商户,82,翔殷路1099号合生汇B2,7.6,7.4,7.4
美食,泰国街边料理,74,准四星商户,48,黄兴路合生汇B2美食集市内,7.6,7.4,7.4
美食,SunFlower,无,准四星商户,无,国滨路58号宝大祥儿童购物中心F1,7.2,7.1,7.1
美食,沐优清饮(合生汇店),328,四星商户,18,翔殷路1099号合生汇B2-48号,7.6,7.4,7.4
美食,爱茜茜里(城市集市合生汇店),99,准四星商户,36,黄兴路2228号合生汇B2层城市集市A1,6.9,7.2,7.1
美食,巷上甜品(五角场),2,准四星商户,无,邯郸路546号,7.2,7.1,7.1
美食,不二烫捞(城市集市合生汇店),598,四星商户,32,黄兴路2228号合生汇B2层城市集市B6商铺,7.6,7.4,7.4
美食,CoCo都可(五角场万达二店),43,准四星商户,13,杨浦区五角场万达广场室内步行街地下一层B-38号商铺,6.9,7.2,7.1
美食,凉皮凉面,无,准四星商户,无,国宾路285弄,7.2,7.1,7.1
美食,禾绿回转寿司(万达店),3479,四星商户,76,政通路189号特力时尚汇4楼,7.6,7.4,7.4
美食,红宝石蛋糕店,12,三星商户,无,黄兴路2077号,6.9,7.2,7.1
美食,澳人坊(万达店),12,准四星商户,37,淞沪路77号万达广场1层,7.2,7.1,7.1
美食,小杨生煎(百联又一城店),35,四星商户,20,淞沪路8号B1层G09-B1-050室,7.6,7.4,7.4
美食,烤冷面,23,三星商户,11,国济路20号,6.9,7.2,7.1
美食,说果享果(合生汇店),28,准四星商户,26,黄兴路2228号合生汇地下二层04号,6.9,7.2,7.1
