店名,单数,人数,折扣总金额,店汇总金额,单均消费,人均消费,总台数,总座位数,翻台率,上座率,折扣率
中关村店,150,470,12140.600180909038,60703,404.6867,129.1553,25,73,6.0000,6.4384,0.20000000298023224
亚运村店,130,306,5378.200080141425,53782,413.7077,175.7582,19,58,6.8421,5.2759,0.10000000149011612
六里桥店,134,412,5399.60008046031,53996,402.9552,131.0583,24,68,5.5833,6.0588,0.10000000149011612
北新桥店,178,572,7300.200108781457,73002,410.1236,127.6259,25,68,7.1200,8.4118,0.10000000149011612
朝阳门店,90,208,3667.700054652989,36677,407.5222,176.3317,17,48,5.2941,4.3333,0.10000000149011612
